label,aliases,corpus_count,2020,2021,2022,2023,2024,2025,2026
indigenous,indigenous,179,26,25,5,18,27,7,71
vernacular,vernacular,208,10,12,2,25,42,22,95
material,"material, materials",1908,321,270,175,194,192,171,585
critical,critical,655,155,84,63,63,72,72,146
system,"system, systems",1546,272,243,157,161,193,99,421
space,"space, spatial, spatializing, spatialize",1026,169,122,97,129,166,93,250
theory,theory,343,72,53,25,43,41,21,88
representation,representation,224,42,24,18,23,51,17,49
human,human,632,125,117,68,80,99,47,96
non-human,non-human,0,0,0,0,0,0,0,0
ethics,"ethics, ethical",239,45,34,8,16,19,12,105
technology,"technology, technical, tech, technological",1244,246,223,111,150,138,99,277
culture,"culture, cultural",1005,186,153,87,150,135,85,209
local,local,558,98,72,52,86,86,50,114
global,global,761,203,119,46,101,99,87,106
knowledge,knowledge,511,132,92,26,43,69,43,106
