label,aliases,corpus_count,2020,2021,2022,2023,2024,2025,2026
climate,climate,3851,950,534,285,356,511,401,814
change,change,2206,717,397,183,194,246,183,286
environmental,"environmental, environment",3282,667,600,304,373,334,319,685
systems,"systems, system",1546,272,243,157,161,193,99,421
energy,"energy, energetic",1206,234,331,98,126,123,102,192
material,"material, materials",1908,321,270,175,194,192,171,585
sustainable,"sustainable, sustainability",1689,354,379,131,170,177,224,254
future,future,864,149,164,95,111,160,94,91
global,global,761,203,119,46,101,99,87,106
infrastructure,"infrastructure, infrastructural",891,288,90,66,75,110,62,200
society,"society, societal",823,202,128,73,97,117,90,116
world,world,672,164,96,76,98,115,51,72
carbon,carbon,669,157,137,62,43,38,80,152
critical,critical,655,155,84,63,63,72,72,146
human,human,632,125,117,68,80,99,47,96
justice,justice,628,69,99,76,63,108,100,113
ecological,"ecological, ecology",871,173,100,81,102,114,84,217
community,"community, communities",1916,304,326,182,201,212,242,449
issue,"issue, issues",669,212,175,89,52,56,47,38
impact,impact,556,129,91,48,72,66,56,94
experience,experience,548,85,78,49,58,83,59,136
science,"science, sciences",671,170,131,33,84,99,58,96
resource,"resource, resources",668,142,140,64,64,76,79,103
data,data,456,81,70,50,70,31,49,105
health,health,455,59,129,35,56,41,40,95
resilience,"resilience, resiliency",510,109,58,18,50,60,97,118
economic,"economic, economy",586,129,96,74,75,64,73,75
texas,texas,417,74,41,18,72,61,68,83
nature,"nature, natural",839,231,176,117,97,91,52,75
current,current,398,87,103,35,39,50,36,48
