year,rank,word,count
2020,1,architecture,1515
2020,2,design,1310
2020,3,climate,950
2020,4,change,717
2020,5,environmental,390
2020,6,urban,369
2020,7,architectural,335
2020,8,building,319
2020,9,environment,277
2020,10,city,260
2020,11,project,243
2020,12,energy,229
2020,13,infrastructure,220
2020,14,systems,210
2020,15,landscape,203
2020,16,material,203
2020,17,global,203
2020,18,public,194
2020,19,social,193
2020,20,history,192
2020,21,built,190
2020,22,community,185
2020,23,society,184
2020,24,sustainable,184
2020,25,issues,178
2020,26,sustainability,170
2020,27,planning,169
2020,28,world,164
2020,29,cities,164
2020,30,architects,160
2020,31,practice,158
2020,32,carbon,157
2020,33,projects,156
2020,34,american,156
2020,35,critical,155
2020,36,water,153
2020,37,future,149
2020,38,knowledge,132
2020,39,impact,129
2020,40,challenges,129
2020,41,technology,126
2020,42,human,125
2020,43,science,125
2020,44,urbanism,123
2020,45,cultural,123
2020,46,time,122
2020,47,level,121
2020,48,nature,121
2020,49,state,121
2020,50,including,119
2020,51,communities,119
2020,52,materials,118
2020,53,architect,117
2020,54,ecological,117
2020,55,art,115
2020,56,natural,110
2020,57,buildings,109
2020,58,housing,108
2020,59,national,107
2020,60,site,105
2020,61,construction,100
2020,62,resources,99
2020,63,local,98
2020,64,political,98
2020,65,scale,98
2020,66,arts,97
2020,67,international,96
2020,68,economic,95
2020,69,resilience,94
2020,70,york,93
2020,71,approach,89
2020,72,questions,88
2020,73,engineering,88
2020,74,current,87
2020,75,experience,85
2020,76,space,84
2020,77,region,84
2020,78,life,82
2020,79,spatial,81
2020,80,data,81
2020,81,foundation,79
2020,82,practices,78
2020,83,solutions,75
2020,84,policy,75
2020,85,environments,74
2020,86,texas,74
2020,87,sea,74
2020,88,build,73
2020,89,theory,72
2020,90,crisis,71
2020,91,digital,71
2020,92,power,70
2020,93,present,70
2020,94,justice,69
2020,95,rise,69
2020,96,infrastructural,68
2020,97,conditions,68
2020,98,land,66
2020,99,chair,66
2020,100,california,66
2021,1,design,1307
2021,2,architecture,1113
2021,3,climate,534
2021,4,building,407
2021,5,change,397
2021,6,environmental,337
2021,7,energy,329
2021,8,urban,306
2021,9,architectural,265
2021,10,environment,263
2021,11,social,257
2021,12,community,230
2021,13,sustainable,229
2021,14,project,200
2021,15,systems,181
2021,16,city,179
2021,17,built,172
2021,18,practice,169
2021,19,future,164
2021,20,sustainability,150
2021,21,issues,149
2021,22,projects,146
2021,23,carbon,137
2021,24,buildings,137
2021,25,materials,137
2021,26,material,133
2021,27,green,133
2021,28,architects,131
2021,29,health,129
2021,30,time,127
2021,31,planning,123
2021,32,site,122
2021,33,global,119
2021,34,technology,119
2021,35,performance,118
2021,36,human,117
2021,37,state,110
2021,38,american,108
2021,39,public,105
