word,year,count_year,count_other,tokens_year,tokens_other,freq_year_per1k,freq_other_per1k,G2,direction,p_label,significant
address,2020,77,337,77164,307077,0.9979,1.0974,0.578,-,not significant,False
american,2020,156,440,77164,307077,2.0217,1.4329,12.886,+,p < 0.001,True
analysis,2020,73,541,77164,307077,0.946,1.7618,29.066,-,p < 0.0001,True
approach,2020,89,366,77164,307077,1.1534,1.1919,0.078,-,not significant,False
architect,2020,117,399,77164,307077,1.5163,1.2993,2.095,+,not significant,False
architects,2020,160,496,77164,307077,2.0735,1.6152,7.222,+,p < 0.01,True
architectural,2020,335,1581,77164,307077,4.3414,5.1485,8.337,-,p < 0.01,True
architecture,2020,1515,4936,77164,307077,19.6335,16.0741,44.732,+,p < 0.0001,True
art,2020,115,296,77164,307077,1.4903,0.9639,14.681,+,p < 0.001,True
assistant,2020,111,435,77164,307077,1.4385,1.4166,0.021,+,not significant,False
associate,2020,127,380,77164,307077,1.6458,1.2375,7.369,+,p < 0.01,True
building,2020,319,1487,77164,307077,4.1341,4.8424,6.796,-,p < 0.01,True
buildings,2020,109,467,77164,307077,1.4126,1.5208,0.489,-,not significant,False
built,2020,190,645,77164,307077,2.4623,2.1005,3.6,+,not significant,False
carbon,2020,157,512,77164,307077,2.0346,1.6673,4.594,+,p < 0.05,True
center,2020,293,572,77164,307077,3.7971,1.8627,89.654,+,p < 0.0001,True
challenges,2020,129,417,77164,307077,1.6718,1.358,4.101,+,p < 0.05,True
change,2020,717,1489,77164,307077,9.2919,4.8489,187.439,+,p < 0.0001,True
cities,2020,164,425,77164,307077,2.1253,1.384,20.342,+,p < 0.0001,True
city,2020,260,799,77164,307077,3.3694,2.602,12.526,+,p < 0.001,True
climate,2020,950,2901,77164,307077,12.3114,9.4471,47.918,+,p < 0.0001,True
communities,2020,119,481,77164,307077,1.5422,1.5664,0.023,-,not significant,False
community,2020,185,1131,77164,307077,2.3975,3.6831,32.431,-,p < 0.0001,True
conditions,2020,68,374,77164,307077,0.8812,1.2179,6.485,-,p < 0.05,True
construction,2020,100,616,77164,307077,1.2959,2.006,18.211,-,p < 0.0001,True
context,2020,81,407,77164,307077,1.0497,1.3254,3.867,-,p < 0.05,True
critical,2020,155,500,77164,307077,2.0087,1.6283,5.024,+,p < 0.05,True
cultural,2020,123,569,77164,307077,1.594,1.853,2.366,-,not significant,False
current,2020,87,311,77164,307077,1.1275,1.0128,0.767,+,not significant,False
data,2020,81,375,77164,307077,1.0497,1.2212,1.575,-,not significant,False
