word,pdf_title,year,count,syllabus_total_tokens,freq_per_1k,corpus_total_count,corpus_rank
design,2020cprize-01nb,2020,2,154,12.987,6815,1
design,2020cprize-02nb,2020,5,879,5.6883,6815,1
design,2020cprize-03nb,2020,3,1154,2.5997,6815,1
design,2020cprize-04nb,2020,31,1298,23.8829,6815,1
design,2020cprize-05nb,2020,6,954,6.2893,6815,1
design,2020cprize-06nb,2020,14,1135,12.3348,6815,1
design,2020cprize-07nb,2020,23,1170,19.6581,6815,1
design,2020cprize-08nb,2020,71,1583,44.8515,6815,1
design,2020cprize-09nb,2020,10,504,19.8413,6815,1
design,2020cprize-10nb,2020,18,1134,15.873,6815,1
design,2020cprize-11nb,2020,11,1264,8.7025,6815,1
design,2020cprize-12nb,2020,28,1580,17.7215,6815,1
design,2020cprize-13nb,2020,19,843,22.5386,6815,1
design,2020cprize-14nb,2020,8,1232,6.4935,6815,1
design,2020cprize-15nb,2020,22,1332,16.5165,6815,1
design,2020cprize-16nb,2020,35,1580,22.1519,6815,1
design,2020cprize-17nb,2020,7,693,10.101,6815,1
design,2020cprize-18nb,2020,16,1339,11.9492,6815,1
design,2020cprize-19nb,2020,23,1137,20.2287,6815,1
design,2020cprize-20nb,2020,37,1226,30.1794,6815,1
design,2020cprize-21nb,2020,19,768,24.7396,6815,1
design,2020cprize-22nb,2020,35,1444,24.2382,6815,1
design,2020cprize-23nb,2020,41,1421,28.8529,6815,1
design,2020cprize-24nb,2020,4,617,6.483,6815,1
design,2020cprize-25nb,2020,2,1204,1.6611,6815,1
design,2020cprize-26nb,2020,53,1418,37.3766,6815,1
design,2020cprize-27nb,2020,21,972,21.6049,6815,1
design,2020cprize-28nb,2020,14,945,14.8148,6815,1
design,2020cprize-29nb,2020,10,1498,6.6756,6815,1
design,2020cprize-30nb,2020,27,1149,23.4987,6815,1
design,2020cprize-31nb,2020,11,1201,9.159,6815,1
design,2020cprize-32nb,2020,24,1082,22.1811,6815,1
design,2020cprize-33nb,2020,5,1324,3.7764,6815,1
design,2020cprize-34nb,2020,38,1064,35.7143,6815,1
design,2020cprize-35nb,2020,22,1197,18.3793,6815,1
design,2020cprize-36nb,2020,23,1121,20.5174,6815,1
design,2020cprize-37nb,2020,17,973,17.4717,6815,1
design,2020cprize-38nb,2020,7,808,8.6634,6815,1
design,2020cprize-39nb,2020,15,993,15.1057,6815,1
design,2020cprize-40nb,2020,11,1013,10.8588,6815,1
design,2020cprize-41nb,2020,28,1762,15.891,6815,1
design,2020cprize-43nb,2020,10,1173,8.5251,6815,1
design,2020cprize-44nb,2020,19,1430,13.2867,6815,1
design,2020cprize-45nb,2020,22,1037,21.215,6815,1
design,2020cprize-46nb,2020,14,1120,12.5,6815,1
design,2020cprize-47nb,2020,30,1739,17.2513,6815,1
design,2020cprize-48nb,2020,17,1069,15.9027,6815,1
design,2020cprize-49nb,2020,9,1114,8.079,6815,1
design,2020cprize-50nb,2020,32,1157,27.6577,6815,1
design,2020cprize-51nb,2020,5,773,6.4683,6815,1
design,2020cprize-52nb,2020,34,1421,23.9268,6815,1
design,2020cprize-53nb,2020,3,1020,2.9412,6815,1
design,2020cprize-54nb,2020,8,627,12.7592,6815,1
design,2020cprize-55nb,2020,5,649,7.7042,6815,1
design,2020cprize-56nb,2020,8,1353,5.9128,6815,1
design,2020cprize-57nb,2020,6,770,7.7922,6815,1
design,2020cprize-58nb,2020,41,1495,27.4247,6815,1
design,2020cprize-59nb,2020,7,1050,6.6667,6815,1
design,2020cprize-60nb,2020,12,996,12.0482,6815,1
design,2020cprize-61nb,2020,2,1135,1.7621,6815,1
design,2020cprize-62nb,2020,20,1270,15.748,6815,1
design,2020cprize-63nb,2020,19,888,21.3964,6815,1
design,2020cprize-64nb,2020,8,1282,6.2402,6815,1
design,2020cprize-65nb,2020,32,1423,22.4877,6815,1
