target,year,rank,neighbour,cosine_sim
indigenous,2020,1,exploring,0.3675
indigenous,2020,2,important,0.3563
indigenous,2020,3,colonial,0.355
indigenous,2020,4,california,0.3437
indigenous,2020,5,schools,0.3337
indigenous,2020,6,vernacular,0.3298
indigenous,2020,7,institutions,0.329
indigenous,2020,8,self,0.3262
indigenous,2020,9,sites,0.3257
indigenous,2020,10,home,0.3207
indigenous,2020,11,adaptive,0.3115
indigenous,2020,12,innovation,0.3058
indigenous,2021,1,perspectives,0.4007
indigenous,2021,2,integrate,0.389
indigenous,2021,3,colonial,0.3705
indigenous,2021,4,extraction,0.3562
indigenous,2021,5,weather,0.3446
indigenous,2021,6,narrative,0.3397
indigenous,2021,7,component,0.3355
indigenous,2021,8,traditional,0.33
indigenous,2021,9,risk,0.3299
indigenous,2021,10,culture,0.3284
indigenous,2021,11,events,0.3252
indigenous,2021,12,migration,0.3222
indigenous,2022,1,south,0.4325
indigenous,2022,2,colonial,0.4168
indigenous,2022,3,north,0.4048
indigenous,2022,4,west,0.4045
indigenous,2022,5,communities,0.3917
indigenous,2022,6,population,0.345
indigenous,2022,7,land,0.3433
indigenous,2022,8,structural,0.3358
indigenous,2022,9,historical,0.3319
indigenous,2022,10,association,0.3318
indigenous,2022,11,large,0.3265
indigenous,2022,12,coastal,0.3244
indigenous,2023,1,perspectives,0.3688
indigenous,2023,2,representation,0.3662
indigenous,2023,3,people,0.353
indigenous,2023,4,culture,0.3523
indigenous,2023,5,whose,0.3389
indigenous,2023,6,park,0.3381
indigenous,2023,7,region,0.3362
indigenous,2023,8,human,0.3361
indigenous,2023,9,ethics,0.3318
indigenous,2023,10,communities,0.3317
indigenous,2023,11,served,0.327
indigenous,2023,12,colonial,0.3177
indigenous,2024,1,scenarios,0.3969
indigenous,2024,2,adaptation,0.3598
indigenous,2024,3,san,0.3521
indigenous,2024,4,assessment,0.3359
indigenous,2024,5,modeling,0.3345
indigenous,2024,6,labor,0.3257
indigenous,2024,7,networks,0.3256
indigenous,2024,8,wide,0.3246
indigenous,2024,9,migration,0.3138
indigenous,2024,10,land,0.3104
indigenous,2024,11,reuse,0.3057
indigenous,2024,12,meet,0.3042
indigenous,2025,1,communities,0.4858
indigenous,2025,2,migration,0.4743
indigenous,2025,3,infrastructural,0.4124
indigenous,2025,4,particularly,0.4065
indigenous,2025,5,travel,0.4057
indigenous,2025,6,species,0.4044
indigenous,2025,7,leed,0.3958
indigenous,2025,8,groups,0.3911
indigenous,2025,9,particular,0.3877
indigenous,2025,10,river,0.3772
indigenous,2025,11,deep,0.3767
indigenous,2025,12,section,0.3632
indigenous,2026,1,knowledge,0.4987
indigenous,2026,2,ethics,0.3742
indigenous,2026,3,help,0.3734
indigenous,2026,4,sciences,0.3585
indigenous,2026,5,cultural,0.3426
indigenous,2026,6,rise,0.3294
indigenous,2026,7,published,0.3285
indigenous,2026,8,perspectives,0.3188
indigenous,2026,9,timber,0.3176
indigenous,2026,10,mexico,0.3077
indigenous,2026,11,awarded,0.306
indigenous,2026,12,engaging,0.3029
vernacular,2020,1,concept,0.3744
vernacular,2020,2,decisions,0.3442
vernacular,2020,3,extreme,0.3406
vernacular,2020,4,weather,0.3337
vernacular,2020,5,indigenous,0.3298
vernacular,2020,6,tech,0.3288
