target,year,rank,neighbour,cosine_sim
climate,2020,1,change,0.9501
climate,2020,2,justice,0.4993
climate,2020,3,face,0.4503
climate,2020,4,crisis,0.4289
climate,2020,5,adaptation,0.4162
climate,2020,6,changing,0.4147
climate,2020,7,write,0.4116
climate,2020,8,problem,0.4037
climate,2020,9,scenarios,0.402
climate,2020,10,architecture,0.4019
climate,2020,11,societal,0.3992
climate,2020,12,social,0.3912
climate,2021,1,change,0.9257
climate,2021,2,mitigation,0.5136
climate,2021,3,justice,0.5
climate,2021,4,adaptation,0.4838
climate,2021,5,challenges,0.4472
climate,2021,6,impacts,0.447
climate,2021,7,crisis,0.4352
climate,2021,8,addressing,0.4344
climate,2021,9,effects,0.4286
climate,2021,10,society,0.4214
climate,2021,11,built,0.4122
climate,2021,12,weather,0.4036
climate,2022,1,change,0.9001
climate,2022,2,society,0.4936
climate,2022,3,justice,0.473
climate,2022,4,weather,0.4448
climate,2022,5,crisis,0.4088
climate,2022,6,migration,0.3851
climate,2022,7,effects,0.3816
climate,2022,8,intersection,0.3801
climate,2022,9,designers,0.3672
climate,2022,10,temple,0.3651
climate,2022,11,mitigation,0.3622
climate,2022,12,global,0.3608
climate,2023,1,change,0.9225
climate,2023,2,society,0.4211
climate,2023,3,crisis,0.4155
climate,2023,4,migration,0.3984
climate,2023,5,policies,0.3876
climate,2023,6,mitigation,0.3751
climate,2023,7,emissions,0.3728
climate,2023,8,central,0.3696
climate,2023,9,great,0.3691
climate,2023,10,risk,0.363
climate,2023,11,critically,0.3595
climate,2023,12,explore,0.358
climate,2024,1,change,0.8624
climate,2024,2,crisis,0.5655
climate,2024,3,justice,0.5321
climate,2024,4,society,0.4723
climate,2024,5,effects,0.3965
climate,2024,6,action,0.396
climate,2024,7,responsive,0.3882
climate,2024,8,session,0.3783
climate,2024,9,mitigation,0.3769
climate,2024,10,adaptation,0.3689
climate,2024,11,impacts,0.3689
climate,2024,12,food,0.3629
climate,2025,1,change,0.8347
climate,2025,2,justice,0.5255
climate,2025,3,crisis,0.5094
climate,2025,4,society,0.4281
climate,2025,5,extreme,0.4136
climate,2025,6,design,0.3921
climate,2025,7,mitigation,0.3762
climate,2025,8,write,0.3717
climate,2025,9,hoyne,0.3661
climate,2025,10,carbon,0.3638
climate,2025,11,larger,0.3618
climate,2025,12,sea,0.3615
climate,2026,1,change,0.8304
climate,2026,2,environmental,0.565
climate,2026,3,adaptation,0.5383
climate,2026,4,mitigation,0.5372
climate,2026,5,responsive,0.5356
climate,2026,6,society,0.5016
climate,2026,7,architecture,0.4966
climate,2026,8,architectural,0.4658
climate,2026,9,societal,0.4546
climate,2026,10,crisis,0.4456
climate,2026,11,equity,0.4437
climate,2026,12,design,0.4402
change,2020,1,climate,0.9501
change,2020,2,justice,0.463
change,2020,3,face,0.4466
change,2020,4,society,0.4384
change,2020,5,social,0.4281
change,2020,6,architecture,0.4223
change,2020,7,societal,0.4207
change,2020,8,write,0.4176
change,2020,9,problem,0.4038
change,2020,10,questions,0.3985
change,2020,11,crisis,0.3925
change,2020,12,adaptation,0.3886
change,2021,1,climate,0.9257
change,2021,2,mitigation,0.4836
change,2021,3,society,0.4541
change,2021,4,challenges,0.4472
change,2021,5,adaptation,0.4436
change,2021,6,addressing,0.4144
change,2021,7,effects,0.4051
change,2021,8,issues,0.3842
change,2021,9,impacts,0.3752
change,2021,10,architecture,0.3749
change,2021,11,built,0.3586
change,2021,12,justice,0.3586
change,2022,1,climate,0.9001
change,2022,2,society,0.4543
change,2022,3,migration,0.4163
change,2022,4,weather,0.3926
change,2022,5,justice,0.3809
change,2022,6,hoyne,0.3656
change,2022,7,effects,0.3624
change,2022,8,temple,0.3559
change,2022,9,global,0.3536
change,2022,10,responsibility,0.3531
change,2022,11,intersection,0.3385
change,2022,12,write,0.3325
change,2023,1,climate,0.9225
change,2023,2,society,0.4776
change,2023,3,migration,0.3892
change,2023,4,great,0.3757
change,2023,5,policies,0.375
change,2023,6,territory,0.3486
change,2023,7,architecture,0.3365
change,2023,8,action,0.3349
change,2023,9,emissions,0.3295
change,2023,10,institutional,0.3291
change,2023,11,critically,0.3264
change,2023,12,crisis,0.3242
change,2024,1,climate,0.8624
change,2024,2,society,0.5249
change,2024,3,crisis,0.443
change,2024,4,justice,0.3778
change,2024,5,issues,0.3745
change,2024,6,impacts,0.3638
change,2024,7,mitigation,0.3533
change,2024,8,addressing,0.3443
change,2024,9,food,0.3433
change,2024,10,broader,0.3393
change,2024,11,effects,0.3372
change,2024,12,help,0.3288
change,2025,1,climate,0.8347
change,2025,2,society,0.4352
change,2025,3,justice,0.4207
change,2025,4,awarded,0.3554
change,2025,5,extreme,0.3537
change,2025,6,social,0.3455
change,2025,7,political,0.3336
change,2025,8,ecology,0.3267
change,2025,9,crisis,0.319
change,2025,10,think,0.3189
change,2025,11,discourse,0.3187
change,2025,12,initiative,0.3137
change,2026,1,climate,0.8304
change,2026,2,society,0.5483
change,2026,3,architecture,0.4765
change,2026,4,environmental,0.4715
change,2026,5,adaptation,0.4468
change,2026,6,prof,0.4256
change,2026,7,problem,0.4205
change,2026,8,mitigation,0.414
change,2026,9,aims,0.4003
change,2026,10,justice,0.3963
change,2026,11,architectural,0.392
change,2026,12,topic,0.3911
environmental,2020,1,social,0.5139
environmental,2020,2,architecture,0.4355
environmental,2020,3,justice,0.4211
environmental,2020,4,integrating,0.4118
environmental,2020,5,architectural,0.4012
environmental,2020,6,political,0.3957
environmental,2020,7,comfort,0.3923
environmental,2020,8,agency,0.3845
environmental,2020,9,design,0.3844
environmental,2020,10,change,0.3799
environmental,2020,11,visiting,0.3746
environmental,2020,12,socio,0.3744
