target,year,rank,neighbour,cosine_sim
indigenous,2020,1,important,0.3554
indigenous,2020,2,patterns,0.3499
indigenous,2020,3,colonial,0.3402
indigenous,2020,4,sciences,0.3331
indigenous,2020,5,sites,0.3179
indigenous,2020,6,diverse,0.312
indigenous,2020,7,institutions,0.3108
indigenous,2020,8,maps,0.3108
indigenous,2020,9,change,0.3027
indigenous,2020,10,engage,0.2998
indigenous,2020,11,land,0.2958
indigenous,2020,12,partners,0.2955
indigenous,2021,1,perspectives,0.4194
indigenous,2021,2,narrative,0.372
indigenous,2021,3,integrate,0.3685
indigenous,2021,4,colonial,0.3679
indigenous,2021,5,extraction,0.3613
indigenous,2021,6,people,0.3497
indigenous,2021,7,groups,0.345
indigenous,2021,8,knowledge,0.3359
indigenous,2021,9,risk,0.3346
indigenous,2021,10,deep,0.3305
indigenous,2021,11,san,0.3297
indigenous,2021,12,land,0.3284
indigenous,2022,1,colonial,0.4511
indigenous,2022,2,south,0.4308
indigenous,2022,3,north,0.4236
indigenous,2022,4,west,0.3866
indigenous,2022,5,population,0.3704
indigenous,2022,6,communities,0.3685
indigenous,2022,7,structural,0.3474
indigenous,2022,8,able,0.3311
indigenous,2022,9,published,0.3292
indigenous,2022,10,historical,0.3237
indigenous,2022,11,major,0.3218
indigenous,2022,12,works,0.3213
indigenous,2023,1,perspectives,0.4097
indigenous,2023,2,park,0.3665
indigenous,2023,3,people,0.3605
indigenous,2023,4,served,0.3519
indigenous,2023,5,texas,0.3496
indigenous,2023,6,colonial,0.3366
indigenous,2023,7,whose,0.3337
indigenous,2023,8,communities,0.3313
indigenous,2023,9,preservation,0.3298
indigenous,2023,10,representation,0.3237
indigenous,2023,11,deep,0.3104
indigenous,2023,12,territory,0.309
indigenous,2024,1,scenarios,0.393
indigenous,2024,2,adaptation,0.3844
indigenous,2024,3,modeling,0.3456
indigenous,2024,4,san,0.3307
indigenous,2024,5,labor,0.3223
indigenous,2024,6,reuse,0.3183
indigenous,2024,7,migration,0.318
indigenous,2024,8,assessment,0.31
indigenous,2024,9,driven,0.304
indigenous,2024,10,meet,0.3025
indigenous,2024,11,practices,0.2988
indigenous,2024,12,inform,0.296
indigenous,2025,1,communities,0.5227
indigenous,2025,2,particular,0.4408
indigenous,2025,3,migration,0.4399
indigenous,2025,4,infrastructural,0.4228
indigenous,2025,5,particularly,0.4011
indigenous,2025,6,species,0.3903
indigenous,2025,7,partner,0.3722
indigenous,2025,8,section,0.3719
indigenous,2025,9,travel,0.3607
indigenous,2025,10,national,0.3603
indigenous,2025,11,planet,0.356
indigenous,2025,12,coastal,0.3528
indigenous,2026,1,knowledge,0.526
indigenous,2026,2,experts,0.353
indigenous,2026,3,cultural,0.3517
indigenous,2026,4,help,0.341
indigenous,2026,5,communities,0.334
indigenous,2026,6,timber,0.319
indigenous,2026,7,colonial,0.3146
indigenous,2026,8,social,0.3133
indigenous,2026,9,techniques,0.3057
indigenous,2026,10,ethics,0.3054
indigenous,2026,11,perspectives,0.3003
indigenous,2026,12,technologies,0.2995
vernacular,2020,1,decisions,0.361
vernacular,2020,2,frameworks,0.3538
vernacular,2020,3,weather,0.3509
vernacular,2020,4,tech,0.3501
vernacular,2020,5,extreme,0.3445
vernacular,2020,6,concept,0.3333
vernacular,2020,7,practices,0.3327
vernacular,2020,8,crisis,0.3225
vernacular,2020,9,agency,0.3196
vernacular,2020,10,offered,0.3192
vernacular,2020,11,today,0.3184
vernacular,2020,12,opportunities,0.3094
vernacular,2021,1,buildings,0.4338
vernacular,2021,2,passive,0.4036
vernacular,2021,3,consumption,0.3837
vernacular,2021,4,modern,0.3704
vernacular,2021,5,technological,0.3693
vernacular,2021,6,collective,0.3686
vernacular,2021,7,designs,0.3624
vernacular,2021,8,leed,0.3526
vernacular,2021,9,climatic,0.3512
vernacular,2021,10,complex,0.3471
vernacular,2021,11,systems,0.3376
vernacular,2021,12,conditions,0.3301
vernacular,2022,1,broader,0.5018
vernacular,2022,2,travel,0.4992
vernacular,2022,3,territory,0.4686
vernacular,2022,4,responsibility,0.4353
vernacular,2022,5,landscapes,0.4262
vernacular,2022,6,general,0.4195
vernacular,2022,7,economic,0.4121
vernacular,2022,8,examine,0.4095
vernacular,2022,9,mass,0.4069
vernacular,2022,10,effects,0.4046
vernacular,2022,11,migration,0.3893
vernacular,2022,12,politics,0.3886
vernacular,2023,1,radical,0.511
vernacular,2023,2,temple,0.4208
vernacular,2023,3,forms,0.4042
vernacular,2023,4,hoyne,0.3988
vernacular,2023,5,centers,0.3619
vernacular,2023,6,mass,0.3614
vernacular,2023,7,labor,0.3597
vernacular,2023,8,look,0.3516
vernacular,2023,9,needs,0.3302
vernacular,2023,10,concerns,0.3298
vernacular,2023,11,agency,0.3274
vernacular,2023,12,existing,0.3249
vernacular,2024,1,radical,0.4976
vernacular,2024,2,responsive,0.4521
vernacular,2024,3,forms,0.3967
vernacular,2024,4,housing,0.3656
vernacular,2024,5,selection,0.3617
vernacular,2024,6,response,0.3422
vernacular,2024,7,strong,0.3417
vernacular,2024,8,introduction,0.3325
vernacular,2024,9,institutional,0.3268
vernacular,2024,10,contemporary,0.3266
vernacular,2024,11,thermal,0.3248
vernacular,2024,12,labor,0.3245
vernacular,2025,1,radical,0.6101
vernacular,2025,2,forms,0.5757
vernacular,2025,3,thermal,0.4785
vernacular,2025,4,mitigation,0.4241
vernacular,2025,5,great,0.4162
vernacular,2025,6,home,0.4142
vernacular,2025,7,competition,0.3815
vernacular,2025,8,colonial,0.3808
vernacular,2025,9,consumption,0.363
vernacular,2025,10,bio,0.3593
vernacular,2025,11,major,0.357
vernacular,2025,12,hoyne,0.3262
vernacular,2026,1,modern,0.4893
vernacular,2026,2,knowledge,0.4015
vernacular,2026,3,systems,0.351
vernacular,2026,4,hoyne,0.3434
vernacular,2026,5,responsive,0.3418
vernacular,2026,6,colonial,0.3403
vernacular,2026,7,politics,0.3342
vernacular,2026,8,examine,0.321
vernacular,2026,9,global,0.3198
vernacular,2026,10,contemporary,0.3154
vernacular,2026,11,critically,0.3139
vernacular,2026,12,patterns,0.3104
material,2020,1,reuse,0.4414
material,2020,2,consumption,0.4015
material,2020,3,fabrication,0.3831
material,2020,4,virtual,0.3733
material,2020,5,investigate,0.3689
material,2020,6,futures,0.3638
material,2020,7,production,0.3612
material,2020,8,introduction,0.3521
material,2020,9,ecologies,0.3519
material,2020,10,physical,0.351
material,2020,11,embodied,0.3501
material,2020,12,materials,0.3472
material,2021,1,integrating,0.385
material,2021,2,reuse,0.3535
material,2021,3,performance,0.3432
material,2021,4,examine,0.3357
material,2021,5,representation,0.3328
material,2021,6,techniques,0.3319
material,2021,7,construction,0.312
material,2021,8,selection,0.3067
material,2021,9,technologies,0.3049
material,2021,10,agency,0.2993
material,2021,11,histories,0.2981
material,2021,12,making,0.2979
material,2022,1,extraction,0.426
material,2022,2,design,0.359
material,2022,3,materials,0.3569
material,2022,4,anthropocene,0.3504
material,2022,5,building,0.3458
material,2022,6,texas,0.3434
material,2022,7,cycle,0.3135
material,2022,8,representation,0.3126
material,2022,9,climatic,0.3048
material,2022,10,contribute,0.3013
material,2022,11,environmental,0.2972
material,2022,12,explores,0.2937
material,2023,1,culture,0.4741
material,2023,2,labor,0.4659
material,2023,3,ecology,0.4435
material,2023,4,performance,0.3834
material,2023,5,materials,0.3652
material,2023,6,lens,0.3608
material,2023,7,fabrication,0.3584
material,2023,8,land,0.3484
