term,shift,freq_2020-2022,freq_2023-2026
geology,0.9032859,55,16
multiplicity,0.87655556,10,9
territory,0.8239006,132,112
innovation,0.8233948,158,240
terrain,0.82265097,12,15
resiliency,0.8181343,47,68
section,0.7656705,199,122
neighborhood,0.7519303,143,215
capitalism,0.7375715,71,40
map,0.73552096,143,94
artificial,0.7328857,57,61
property,0.72968507,124,40
archive,0.71967876,29,54
structure,0.7167834,230,344
epistemology,0.71440876,4,12
exterior,0.7106924,12,33
growth,0.70642096,183,125
disaster,0.68964016,100,86
tool,0.6880552,63,170
reuse,0.6855192,56,253
drawing,0.6846029,138,226
model,0.6671839,271,372
critical,0.66639125,569,669
risk,0.6651844,84,220
topography,0.66480666,14,15
optimization,0.66118705,18,52
place,0.6606133,298,380
virtual,0.65662783,60,195
colonial,0.65153646,102,129
rural,0.6429363,66,43
offset,0.64245236,16,4
natural,0.6417104,502,365
speculate,0.6399562,47,41
computation,0.6398169,16,42
crisis,0.63560736,312,306
city,0.63402843,1140,885
race,0.6299919,75,64
media,0.62836766,206,206
vernacular,0.6276815,47,351
land,0.6253495,329,420
resource,0.62406975,194,214
intersectional,0.62131464,12,22
interior,0.6184838,106,197
species,0.6092885,108,123
history,0.6035777,645,540
culture,0.60246515,322,271
timber,0.60150146,107,153
ethics,0.59714293,106,126
radical,0.5865864,149,98
engineer,0.5863694,48,19
emergency,0.58535385,52,39
house,0.58167624,199,133
human,0.5791384,597,624
extraction,0.5788431,159,238
physical,0.5763557,286,260
preservation,0.57621145,136,119
economy,0.5737148,136,150
private,0.57283485,77,58
agency,0.5710094,127,180
world,0.5702662,641,648
visual,0.5636301,105,257
earth,0.5624467,244,220
labor,0.5624121,120,179
park,0.56126225,133,109
migration,0.55455846,90,144
adaptive,0.5537567,87,252
engage,0.5536238,296,425
technical,0.55224293,217,363
anthropocene,0.551471,141,78
weather,0.55144966,87,184
system,0.5514387,337,339
museum,0.55115795,144,163
warming,0.54991424,100,73
flood,0.5445985,60,93
intelligence,0.53981286,40,93
experience,0.5393645,405,647
regenerative,0.53809226,44,235
indigenous,0.5356207,110,239
sustainability,0.5285524,740,712
waste,0.52733517,211,231
injustice,0.5198808,52,51
mitigation,0.51194096,94,132
future,0.51175743,770,873
theory,0.506987,287,366
oil,0.50323856,157,343
collaboration,0.5020416,221,367
planet,0.49788046,111,118
infrastructure,0.49389035,690,725
river,0.49219352,123,293
coast,0.4887553,98,118
food,0.48232567,208,254
construction,0.47960776,548,819
science,0.47557127,490,505
representation,0.47507882,167,272
digital,0.472933,273,334
emissions,0.4726721,157,175
technology,0.46792966,566,517
space,0.46696848,397,643
landscape,0.4658311,674,771
fabrication,0.46462238,135,306
justice,0.46394318,461,730
build,0.4622596,289,360
carbon,0.4617954,689,609
management,0.46142858,208,241
public,0.46006632,733,950
global,0.4515565,709,756
ecological,0.44901586,449,743
leed,0.44353068,218,118
air,0.44289798,180,185
embodied,0.44241142,98,182
performance,0.4374776,400,568
site,0.4371087,716,1011
international,0.4348837,328,426
consumption,0.4347229,169,98
heat,0.41940397,134,452
sea,0.41539687,247,178
knowledge,0.41311592,481,491
water,0.41090685,618,561
social,0.41072404,1109,1384
humanities,0.40666103,169,162
local,0.40322226,436,659
urban,0.3804732,1689,2014
material,0.35811615,869,1408
data,0.34697706,392,505
architect,0.34678966,505,506
building,0.3378405,1729,1757
energy,0.30770695,1268,1049
change,0.28643417,2425,1669
climate,0.25149304,3331,3897
design,0.21922642,5972,6982
architecture,0.16684836,5964,5606
