"metric","comparison","value"
"citing_syllabi_count","Carbon Democracy: Political Power in the Age of Oil","18"
"citing_syllabi_count","Petrochemical America","15"
"citing_syllabi_count","Design and the Green New Deal","8"
"shared_syllabi_count","Carbon Democracy: Political Power in the Age of Oil & Petrochemical America","3"
"jaccard_similarity","Carbon Democracy: Political Power in the Age of Oil & Petrochemical America","0.1"
"pct_of_A_that_also_cite_B","Carbon Democracy: Political Power in the Age of Oil -> Petrochemical America","16.7"
"pct_of_A_that_also_cite_B","Petrochemical America -> Carbon Democracy: Political Power in the Age of Oil","20.0"
"shared_syllabi_count","Carbon Democracy: Political Power in the Age of Oil & Design and the Green New Deal","2"
"jaccard_similarity","Carbon Democracy: Political Power in the Age of Oil & Design and the Green New Deal","0.083"
"pct_of_A_that_also_cite_B","Carbon Democracy: Political Power in the Age of Oil -> Design and the Green New Deal","11.1"
"pct_of_A_that_also_cite_B","Design and the Green New Deal -> Carbon Democracy: Political Power in the Age of Oil","25.0"
"shared_syllabi_count","Petrochemical America & Design and the Green New Deal","0"
"jaccard_similarity","Petrochemical America & Design and the Green New Deal","0.0"
"pct_of_A_that_also_cite_B","Petrochemical America -> Design and the Green New Deal","0.0"
"pct_of_A_that_also_cite_B","Design and the Green New Deal -> Petrochemical America","0.0"
"shared_by_all_3_count","Carbon Democracy: Political Power in the Age of Oil & Petrochemical America & Design and the Green New Deal","0"
