"metric","comparison","value"
"citing_syllabi_count","Petrochemical America","15"
"citing_syllabi_count","Reciprocal Landscapes: material portraits in New York City and elsewhere","11"
"citing_syllabi_count","The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","6"
"shared_syllabi_count","Petrochemical America & Reciprocal Landscapes: material portraits in New York City and elsewhere","5"
"jaccard_similarity","Petrochemical America & Reciprocal Landscapes: material portraits in New York City and elsewhere","0.238"
"pct_of_A_that_also_cite_B","Petrochemical America -> Reciprocal Landscapes: material portraits in New York City and elsewhere","33.3"
"pct_of_A_that_also_cite_B","Reciprocal Landscapes: material portraits in New York City and elsewhere -> Petrochemical America","45.5"
"shared_syllabi_count","Petrochemical America & The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","4"
"jaccard_similarity","Petrochemical America & The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","0.235"
"pct_of_A_that_also_cite_B","Petrochemical America -> The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","26.7"
"pct_of_A_that_also_cite_B","The Cannibal's Cookbook: Mining Myths of Cyclopean Construction -> Petrochemical America","66.7"
"shared_syllabi_count","Reciprocal Landscapes: material portraits in New York City and elsewhere & The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","4"
"jaccard_similarity","Reciprocal Landscapes: material portraits in New York City and elsewhere & The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","0.308"
"pct_of_A_that_also_cite_B","Reciprocal Landscapes: material portraits in New York City and elsewhere -> The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","36.4"
"pct_of_A_that_also_cite_B","The Cannibal's Cookbook: Mining Myths of Cyclopean Construction -> Reciprocal Landscapes: material portraits in New York City and elsewhere","66.7"
"shared_by_all_3_count","Petrochemical America & Reciprocal Landscapes: material portraits in New York City and elsewhere & The Cannibal's Cookbook: Mining Myths of Cyclopean Construction","4"
