"metric","comparison","value"
"citing_syllabi_count","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene","18"
"citing_syllabi_count","The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins","12"
"citing_syllabi_count","Lo-TEK: Design by Radical Indigenism","13"
"shared_syllabi_count","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene & The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins","5"
"jaccard_similarity","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene & The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins","0.2"
"pct_of_A_that_also_cite_B","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene -> The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins","27.8"
"pct_of_A_that_also_cite_B","The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins -> Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene","41.7"
"shared_syllabi_count","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene & Lo-TEK: Design by Radical Indigenism","3"
"jaccard_similarity","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene & Lo-TEK: Design by Radical Indigenism","0.107"
"pct_of_A_that_also_cite_B","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene -> Lo-TEK: Design by Radical Indigenism","16.7"
"pct_of_A_that_also_cite_B","Lo-TEK: Design by Radical Indigenism -> Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene","23.1"
"shared_syllabi_count","The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins & Lo-TEK: Design by Radical Indigenism","1"
"jaccard_similarity","The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins & Lo-TEK: Design by Radical Indigenism","0.042"
"pct_of_A_that_also_cite_B","The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins -> Lo-TEK: Design by Radical Indigenism","8.3"
"pct_of_A_that_also_cite_B","Lo-TEK: Design by Radical Indigenism -> The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins","7.7"
"shared_by_all_3_count","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene & The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins & Lo-TEK: Design by Radical Indigenism","1"
