"metric","comparison","value"
"citing_syllabi_count","Thermal Delight in Architecture","9"
"citing_syllabi_count","After Comfort: A User's Guide","9"
"citing_syllabi_count","Modern Architecture and Climate: Design before Air Conditioning","7"
"shared_syllabi_count","Thermal Delight in Architecture & After Comfort: A User's Guide","1"
"jaccard_similarity","Thermal Delight in Architecture & After Comfort: A User's Guide","0.059"
"pct_of_A_that_also_cite_B","Thermal Delight in Architecture -> After Comfort: A User's Guide","11.1"
"pct_of_A_that_also_cite_B","After Comfort: A User's Guide -> Thermal Delight in Architecture","11.1"
"shared_syllabi_count","Thermal Delight in Architecture & Modern Architecture and Climate: Design before Air Conditioning","2"
"jaccard_similarity","Thermal Delight in Architecture & Modern Architecture and Climate: Design before Air Conditioning","0.143"
"pct_of_A_that_also_cite_B","Thermal Delight in Architecture -> Modern Architecture and Climate: Design before Air Conditioning","22.2"
"pct_of_A_that_also_cite_B","Modern Architecture and Climate: Design before Air Conditioning -> Thermal Delight in Architecture","28.6"
"shared_syllabi_count","After Comfort: A User's Guide & Modern Architecture and Climate: Design before Air Conditioning","2"
"jaccard_similarity","After Comfort: A User's Guide & Modern Architecture and Climate: Design before Air Conditioning","0.143"
"pct_of_A_that_also_cite_B","After Comfort: A User's Guide -> Modern Architecture and Climate: Design before Air Conditioning","22.2"
"pct_of_A_that_also_cite_B","Modern Architecture and Climate: Design before Air Conditioning -> After Comfort: A User's Guide","28.6"
"shared_by_all_3_count","Thermal Delight in Architecture & After Comfort: A User's Guide & Modern Architecture and Climate: Design before Air Conditioning","1"
