"metric","comparison","value"
"citing_syllabi_count","Down to Earth: Politics in the New Climatic Regime","18"
"citing_syllabi_count","Vibrant Matter: A Political Ecology of Things","7"
"citing_syllabi_count","Hyperobjects: Philosophy and Ecology After the End of the World","10"
"shared_syllabi_count","Down to Earth: Politics in the New Climatic Regime & Vibrant Matter: A Political Ecology of Things","2"
"jaccard_similarity","Down to Earth: Politics in the New Climatic Regime & Vibrant Matter: A Political Ecology of Things","0.087"
"pct_of_A_that_also_cite_B","Down to Earth: Politics in the New Climatic Regime -> Vibrant Matter: A Political Ecology of Things","11.1"
"pct_of_A_that_also_cite_B","Vibrant Matter: A Political Ecology of Things -> Down to Earth: Politics in the New Climatic Regime","28.6"
"shared_syllabi_count","Down to Earth: Politics in the New Climatic Regime & Hyperobjects: Philosophy and Ecology After the End of the World","0"
"jaccard_similarity","Down to Earth: Politics in the New Climatic Regime & Hyperobjects: Philosophy and Ecology After the End of the World","0.0"
"pct_of_A_that_also_cite_B","Down to Earth: Politics in the New Climatic Regime -> Hyperobjects: Philosophy and Ecology After the End of the World","0.0"
"pct_of_A_that_also_cite_B","Hyperobjects: Philosophy and Ecology After the End of the World -> Down to Earth: Politics in the New Climatic Regime","0.0"
"shared_syllabi_count","Vibrant Matter: A Political Ecology of Things & Hyperobjects: Philosophy and Ecology After the End of the World","1"
"jaccard_similarity","Vibrant Matter: A Political Ecology of Things & Hyperobjects: Philosophy and Ecology After the End of the World","0.062"
"pct_of_A_that_also_cite_B","Vibrant Matter: A Political Ecology of Things -> Hyperobjects: Philosophy and Ecology After the End of the World","14.3"
"pct_of_A_that_also_cite_B","Hyperobjects: Philosophy and Ecology After the End of the World -> Vibrant Matter: A Political Ecology of Things","10.0"
"shared_by_all_3_count","Down to Earth: Politics in the New Climatic Regime & Vibrant Matter: A Political Ecology of Things & Hyperobjects: Philosophy and Ecology After the End of the World","0"
