"metric","comparison","value"
"citing_syllabi_count","The Death and Life of Great American Cities","10"
"citing_syllabi_count","Design with Nature","16"
"citing_syllabi_count","Ecological Urbanism","13"
"shared_syllabi_count","The Death and Life of Great American Cities & Design with Nature","3"
"jaccard_similarity","The Death and Life of Great American Cities & Design with Nature","0.13"
"pct_of_A_that_also_cite_B","The Death and Life of Great American Cities -> Design with Nature","30.0"
"pct_of_A_that_also_cite_B","Design with Nature -> The Death and Life of Great American Cities","18.8"
"shared_syllabi_count","The Death and Life of Great American Cities & Ecological Urbanism","5"
"jaccard_similarity","The Death and Life of Great American Cities & Ecological Urbanism","0.278"
"pct_of_A_that_also_cite_B","The Death and Life of Great American Cities -> Ecological Urbanism","50.0"
"pct_of_A_that_also_cite_B","Ecological Urbanism -> The Death and Life of Great American Cities","38.5"
"shared_syllabi_count","Design with Nature & Ecological Urbanism","3"
"jaccard_similarity","Design with Nature & Ecological Urbanism","0.115"
"pct_of_A_that_also_cite_B","Design with Nature -> Ecological Urbanism","18.8"
"pct_of_A_that_also_cite_B","Ecological Urbanism -> Design with Nature","23.1"
"shared_by_all_3_count","The Death and Life of Great American Cities & Design with Nature & Ecological Urbanism","2"
