"metric","comparison","value"
"citing_syllabi_count","Design with Nature","16"
"citing_syllabi_count","Design with Climate","13"
"citing_syllabi_count","The Architecture of the Well-Tempered Environment","10"
"shared_syllabi_count","Design with Nature & Design with Climate","2"
"jaccard_similarity","Design with Nature & Design with Climate","0.074"
"pct_of_A_that_also_cite_B","Design with Nature -> Design with Climate","12.5"
"pct_of_A_that_also_cite_B","Design with Climate -> Design with Nature","15.4"
"shared_syllabi_count","Design with Nature & The Architecture of the Well-Tempered Environment","1"
"jaccard_similarity","Design with Nature & The Architecture of the Well-Tempered Environment","0.04"
"pct_of_A_that_also_cite_B","Design with Nature -> The Architecture of the Well-Tempered Environment","6.2"
"pct_of_A_that_also_cite_B","The Architecture of the Well-Tempered Environment -> Design with Nature","10.0"
"shared_syllabi_count","Design with Climate & The Architecture of the Well-Tempered Environment","4"
"jaccard_similarity","Design with Climate & The Architecture of the Well-Tempered Environment","0.211"
"pct_of_A_that_also_cite_B","Design with Climate -> The Architecture of the Well-Tempered Environment","30.8"
"pct_of_A_that_also_cite_B","The Architecture of the Well-Tempered Environment -> Design with Climate","40.0"
"shared_by_all_3_count","Design with Nature & Design with Climate & The Architecture of the Well-Tempered Environment","0"
