"title","authors","year_published","type","genre","description","publisher","journal","container_title","isbn","total_citations","2020","2021","2022","2023","2024","2025","2026","source_syllabi"
"Carbon Democracy: Political Power in the Age of Oil","Timothy Mitchell","2011","book","","","Verso Books","","","","18","8","4","1","1","1","2","1","2020cprize-06; 2020cprize-09; 2020cprize-25; 2020cprize-29; 2020cprize-34; 2020cprize-43; 2020cprize-44; 2020cprize-46; 2021cprize-02; 2021cprize-17; 2021cprize-43; 2021cprize-52; 2024cprize-06; 2023cprize-31; 2025cprize-01; 2022cprize-26; 2026cprize-16; 2025cprize-03"
"Down to Earth: Politics in the New Climatic Regime","Bruno Latour","2018","book","","","Polity Press","","","","18","10","2","0","2","1","0","3","2020cprize-09; 2020cprize-12; 2020cprize-20; 2020cprize-24; 2020cprize-34; 2020cprize-42; 2020cprize-57; 2020cprize-60; 2020cprize-62; 2020cprize-66; 2021cprize-15; 2021cprize-52; 2024cprize-01; 2023cprize-31; 2023cprize-07; 2026cprize-31; 2026cprize-09; 2026cprize-16"
"Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene","Donna J. Haraway","2016","book","","","PM Press","","","","18","2","1","5","2","2","1","5","2022cprize-12; 2022cprize-15; 2022cprize-18; 2026cprize-48; 2026cprize-56; 2020cprize-44; 2020cprize-49; 2021cprize-17; 2024cprize-01; 2024cprize-35; 2022cprize-28; 2022cprize-22; 2023cprize-04; 2023cprize-07; 2026cprize-20; 2026cprize-08; 2026cprize-16; 2025cprize-22"
"Design with Nature (1969)","Ian L. McHarg","1969","book","","","Wiley","","","","16","7","1","0","3","3","1","1","2020cprize-04; 2020cprize-05; 2020cprize-08; 2020cprize-30; 2020cprize-45; 2020cprize-65; 2020cprize-68; 2021cprize-28; 2023cprize-39; 2024cprize-17; 2023cprize-27; 2023cprize-33; 2024cprize-30; 2024cprize-34; 2026cprize-14; 2025cprize-27"
"Petrochemical America","Richard Misrach; Kate Orff","2014","book","Description and travel; Petroleum industry and trade; Landscape architecture; Photography in geography; Community development","""Features Richard Misrach's photographic record of Louisiana's Chemical Corridor, accompanied by landscape architect Kate Orff's Ecological atlas--a series of ""speculative drawings"" developed through research and mapping of data from the region""--","Aperture","","","9781597111911","15","6","2","1","1","2","1","2","2022cprize-17; 2020cprize-06; 2020cprize-16; 2020cprize-21; 2020cprize-29; 2020cprize-36; 2020cprize-53; 2021cprize-34; 2021cprize-43; 2024cprize-12; 2024cprize-19; 2023cprize-03; 2026cprize-28; 2026cprize-34; 2025cprize-18"
"The Agency of Mapping: Speculation, Critique, and Invention","James Corner","2002","chapter","","","Reaktion","","Mappings","","15","4","2","3","2","0","1","3","2021cprize-61; 2026cprize-65; 2020cprize-34; 2020cprize-40; 2020cprize-62; 2020cprize-68; 2021cprize-52; 2023cprize-29; 2022cprize-23; 2022cprize-26; 2022cprize-30; 2023cprize-02; 2026cprize-20; 2026cprize-34; 2025cprize-18"
"Design with Climate: A Bioclimatic Approach to Architectural Regionalism","Victor Olgyay; A. Olgyay; D. Lyndon; V. W. Olgyay; J. Reynolds; K. Yeang","2015","book","","","Princeton University Press","","","","13","2","2","1","3","4","0","1","2022cprize-07; 2026cprize-66; 2020cprize-05; 2020cprize-62; 2021cprize-11; 2021cprize-31; 2024cprize-08; 2024cprize-15; 2023cprize-14; 2023cprize-28; 2023cprize-33; 2024cprize-24; 2024cprize-27"
"Ecological Urbanism","M. Mostafavi; Gareth Doherty; Harvard University Graduate School of Design","2010","book","City planning; Environmental degradation; Urban ecology (Sociology); Sustainable development; Stadsplanering","While climate change, sustainable architecture, and green technologies have become increasingly topical, issues surrounding the sustainability of the city are much less developed. The premise of the book is that an ecological approach is urgently needed both as a remedial device for the contemporary city and an organizing principle for new cities.","Lars Müller Publishers","","","9783037784679","13","4","4","1","2","0","0","2","2026cprize-60; 2020cprize-04; 2020cprize-06; 2020cprize-16; 2020cprize-68; 2021cprize-27; 2021cprize-28; 2021cprize-45; 2021cprize-49; 2023cprize-28; 2023cprize-09; 2022cprize-25; 2026cprize-05"
"Geostories: Another Architecture for the Environment","Rania Ghosn; El Hadi Jazairy","2018","book","","","Actar","","","","13","2","1","1","0","3","1","5","2026cprize-48; 2026cprize-55; 2020cprize-12; 2020cprize-57; 2021cprize-47; 2024cprize-01; 2024cprize-19; 2024cprize-38; 2022cprize-22; 2026cprize-28; 2026cprize-31; 2026cprize-16; 2025cprize-04"
"Lo-TEK: Design by Radical Indigenism","Julia Watson; Wade Davis","2020","book","Vernacular architecture; Architecture; Environmental aspects; Sustainable architecture; Bouwkunst","""Three hundred years ago, intellectuals of the European Enlightenment constructed a mythology of technology. Influenced by a confluence of humanism, colonialism, and racism, this mythology ignored local wisdom and indigenous innovation, deeming it primitive. Today, we have slowly come to realize that the legacy of this mythology is haunting us. Designers understand the urgency of reducing humanity","Taschen","","","9783836578189","13","0","3","0","1","4","0","5","2026cprize-45; 2026cprize-56; 2026cprize-62; 2021cprize-07; 2021cprize-39; 2021cprize-47; 2024cprize-01; 2024cprize-23; 2024cprize-24; 2024cprize-32; 2023cprize-01; 2026cprize-06; 2026cprize-08"
