"title","authors","year_published","type","total_citations","2020","2021","2022","2023","2024","2025","2026","matched_keywords","matched_go_words","source_syllabi"
"Carbon Democracy: Political Power in the Age of Oil","Timothy Mitchell","2011","book","18","8","4","1","1","1","2","1","carbon","oil, carbon","2020cprize-06; 2020cprize-09; 2020cprize-25; 2020cprize-29; 2020cprize-34; 2020cprize-43; 2020cprize-44; 2020cprize-46; 2021cprize-02; 2021cprize-17; 2021cprize-43; 2021cprize-52; 2024cprize-06; 2023cprize-31; 2025cprize-01; 2022cprize-26; 2026cprize-16; 2025cprize-03"
"Down to Earth: Politics in the New Climatic Regime","Bruno Latour","2018","book","18","10","2","0","2","1","0","3","","earth","2020cprize-09; 2020cprize-12; 2020cprize-20; 2020cprize-24; 2020cprize-34; 2020cprize-42; 2020cprize-57; 2020cprize-60; 2020cprize-62; 2020cprize-66; 2021cprize-15; 2021cprize-52; 2024cprize-01; 2023cprize-31; 2023cprize-07; 2026cprize-31; 2026cprize-09; 2026cprize-16"
"Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene","Donna J. Haraway","2016","book","18","2","1","5","2","2","1","5","","anthropocene","2022cprize-12; 2022cprize-15; 2022cprize-18; 2026cprize-48; 2026cprize-56; 2020cprize-44; 2020cprize-49; 2021cprize-17; 2024cprize-01; 2024cprize-35; 2022cprize-28; 2022cprize-22; 2023cprize-04; 2023cprize-07; 2026cprize-20; 2026cprize-08; 2026cprize-16; 2025cprize-22"
"Design with Nature (1969)","Ian L. McHarg","1969","book","16","7","1","0","3","3","1","1","nature","design","2020cprize-04; 2020cprize-05; 2020cprize-08; 2020cprize-30; 2020cprize-45; 2020cprize-65; 2020cprize-68; 2021cprize-28; 2023cprize-39; 2024cprize-17; 2023cprize-27; 2023cprize-33; 2024cprize-30; 2024cprize-34; 2026cprize-14; 2025cprize-27"
"Petrochemical America","Richard Misrach; Kate Orff","2014","book","15","6","2","1","1","2","1","2","","","2022cprize-17; 2020cprize-06; 2020cprize-16; 2020cprize-21; 2020cprize-29; 2020cprize-36; 2020cprize-53; 2021cprize-34; 2021cprize-43; 2024cprize-12; 2024cprize-19; 2023cprize-03; 2026cprize-28; 2026cprize-34; 2025cprize-18"
"The Agency of Mapping: Speculation, Critique, and Invention","James Corner","2002","chapter","15","4","2","3","2","0","1","3","","map, speculate, agency","2021cprize-61; 2026cprize-65; 2020cprize-34; 2020cprize-40; 2020cprize-62; 2020cprize-68; 2021cprize-52; 2023cprize-29; 2022cprize-23; 2022cprize-26; 2022cprize-30; 2023cprize-02; 2026cprize-20; 2026cprize-34; 2025cprize-18"
"Design with Climate: A Bioclimatic Approach to Architectural Regionalism","Victor Olgyay; A. Olgyay; D. Lyndon; V. W. Olgyay; J. Reynolds; K. Yeang","2015","book","13","2","2","1","3","4","0","1","climate","climate, design","2022cprize-07; 2026cprize-66; 2020cprize-05; 2020cprize-62; 2021cprize-11; 2021cprize-31; 2024cprize-08; 2024cprize-15; 2023cprize-14; 2023cprize-28; 2023cprize-33; 2024cprize-24; 2024cprize-27"
"Ecological Urbanism","M. Mostafavi; Gareth Doherty; Harvard University Graduate School of Design","2010","book","13","4","4","1","2","0","0","2","ecological","ecological","2026cprize-60; 2020cprize-04; 2020cprize-06; 2020cprize-16; 2020cprize-68; 2021cprize-27; 2021cprize-28; 2021cprize-45; 2021cprize-49; 2023cprize-28; 2023cprize-09; 2022cprize-25; 2026cprize-05"
"Geostories: Another Architecture for the Environment","Rania Ghosn; El Hadi Jazairy","2018","book","13","2","1","1","0","3","1","5","environmental","architecture","2026cprize-48; 2026cprize-55; 2020cprize-12; 2020cprize-57; 2021cprize-47; 2024cprize-01; 2024cprize-19; 2024cprize-38; 2022cprize-22; 2026cprize-28; 2026cprize-31; 2026cprize-16; 2025cprize-04"
"Lo-TEK: Design by Radical Indigenism","Julia Watson; Wade Davis","2020","book","13","0","3","0","1","4","0","5","","radical, design","2026cprize-45; 2026cprize-56; 2026cprize-62; 2021cprize-07; 2021cprize-39; 2021cprize-47; 2024cprize-01; 2024cprize-23; 2024cprize-24; 2024cprize-32; 2023cprize-01; 2026cprize-06; 2026cprize-08"
"Cradle to Cradle: Remaking the Way We Make Things","William McDonough; Michael Braungart","2002","book","12","3","4","1","1","1","0","2","","make","2021cprize-58; 2021cprize-62; 2022cprize-08; 2026cprize-52; 2020cprize-08; 2020cprize-33; 2020cprize-67; 2021cprize-41; 2021cprize-45; 2023cprize-32; 2024cprize-29; 2026cprize-14"
"The Mushroom at the End of the World: On the Possibility of Life in Capitalist Ruins","Anna Lowenhaupt Tsing","2015","book","12","3","2","1","1","1","1","3","world","capitalism, world","2021cprize-60; 2022cprize-17; 2026cprize-48; 2020cprize-56; 2020cprize-58; 2020cprize-61; 2021cprize-08; 2024cprize-01; 2023cprize-07; 2026cprize-20; 2026cprize-34; 2025cprize-22"
"Reciprocal Landscapes: material portraits in New York City and elsewhere","Jane Elizabeth Hutton","2019","book","11","1","3","2","1","2","0","2","material","material, landscape, city","2022cprize-08; 2022cprize-17; 2026cprize-55; 2020cprize-53; 2021cprize-16; 2021cprize-17; 2021cprize-34; 2024cprize-12; 2024cprize-24; 2023cprize-01; 2026cprize-34"
"The Climate of History: Four Theses","Dipesh Chakrabarty","2009","article","11","4","2","2","1","0","1","1","climate","climate, history","2022cprize-02; 2022cprize-15; 2020cprize-02; 2020cprize-05; 2020cprize-21; 2020cprize-25; 2021cprize-31; 2021cprize-46; 2023cprize-14; 2025cprize-01; 2026cprize-30"
