"metric","value"
"total_syllabi_processed","350"
"syllabi_with_citations_extracted","333"
"syllabi_with_zero_citations","17"
"total_raw_citations","6452"
"total_unique_works_after_dedup","4932"
"dedup_reduction_pct","23.6"
"avg_citations_per_syllabus_all","18.4"
"avg_citations_per_syllabus_with_bib","19.4"
"median_citations_per_syllabus","16.0"
"min_citations_per_syllabus","0"
"max_citations_per_syllabus","86"
"syllabus_with_max_citations","2022cprize-28"
"avg_syllabi_citing_each_unique_work","1.29"
"works_cited_by_multiple_syllabi","735"
"works_cited_by_single_syllabus","4197"
"most_cited_work_title","Staying with the Trouble: Anthropocene, Capitalocene and Chthulucene"
"most_cited_work_citation_count","18"
"earliest_cited_work_year","1524"
"latest_cited_work_year","2026"
"earliest_syllabus_year_processed","2020"
"latest_syllabus_year_processed","2026"
"pct_unique_works_with_open_library_isbn","10.2"
"pct_unique_works_with_open_library_genre","9.5"
"unique_publishers_count","835"
"pct_unique_works_with_publisher","41.3"
"most_cited_publisher","Routledge"
"most_cited_publisher_citation_count","264"
"unique_journals_count","767"
"pct_articles_with_journal","84.8"
"most_cited_journal","Log"
"most_cited_journal_citation_count","35"
