pdf_title,year,active,passive,no_subject,total_verb_instances
2020cprize-01nb,2020,13,6,16,35
2020cprize-02nb,2020,45,2,54,101
2020cprize-03nb,2020,110,12,109,231
2020cprize-04nb,2020,73,17,167,257
2020cprize-05nb,2020,48,19,88,155
2020cprize-06nb,2020,72,19,99,190
2020cprize-07nb,2020,74,26,121,221
2020cprize-08nb,2020,76,25,124,225
2020cprize-09nb,2020,29,6,32,67
2020cprize-10nb,2020,45,14,93,152
2020cprize-11nb,2020,87,27,113,227
2020cprize-12nb,2020,93,35,113,241
2020cprize-13nb,2020,46,7,61,114
2020cprize-14nb,2020,77,15,101,193
2020cprize-15nb,2020,68,12,111,191
2020cprize-16nb,2020,118,19,118,255
2020cprize-17nb,2020,48,7,58,113
2020cprize-18nb,2020,88,9,145,242
2020cprize-19nb,2020,33,8,78,119
2020cprize-20nb,2020,86,27,103,216
2020cprize-21nb,2020,41,9,54,104
2020cprize-22nb,2020,101,22,129,252
2020cprize-23nb,2020,102,25,144,271
2020cprize-24nb,2020,46,9,54,109
2020cprize-25nb,2020,69,9,113,191
2020cprize-26nb,2020,71,23,124,218
2020cprize-27nb,2020,62,19,100,181
2020cprize-28nb,2020,58,14,76,148
2020cprize-29nb,2020,95,16,85,196
2020cprize-30nb,2020,71,25,88,184
2020cprize-31nb,2020,107,25,139,271
2020cprize-32nb,2020,75,16,69,160
2020cprize-33nb,2020,74,14,106,194
2020cprize-34nb,2020,56,16,106,178
2020cprize-35nb,2020,78,15,160,253
2020cprize-36nb,2020,72,13,100,185
2020cprize-37nb,2020,59,23,113,195
2020cprize-38nb,2020,35,9,52,96
2020cprize-39nb,2020,75,18,100,193
2020cprize-40nb,2020,70,17,90,177
2020cprize-41nb,2020,61,29,92,182
2020cprize-43nb,2020,75,25,98,198
2020cprize-44nb,2020,67,38,127,232
2020cprize-45nb,2020,43,12,79,134
2020cprize-46nb,2020,77,15,95,187
2020cprize-47nb,2020,91,30,153,274
2020cprize-48nb,2020,45,19,91,155
2020cprize-49nb,2020,69,20,83,172
2020cprize-50nb,2020,48,20,112,180
2020cprize-51nb,2020,45,17,53,115
2020cprize-52nb,2020,66,19,107,192
2020cprize-53nb,2020,70,9,91,170
2020cprize-54nb,2020,32,10,51,93
2020cprize-55nb,2020,49,6,47,102
2020cprize-56nb,2020,99,17,167,283
2020cprize-57nb,2020,46,9,86,141
2020cprize-58nb,2020,95,15,123,233
2020cprize-59nb,2020,73,14,114,201
2020cprize-60nb,2020,72,13,114,199
2020cprize-61nb,2020,73,22,95,190
2020cprize-62nb,2020,59,9,112,180
