category,year,count,tokens_that_year,freq_per_1000
built_environment,2020,81,146086,0.5545
built_environment,2021,89,129456,0.6875
built_environment,2022,55,69835,0.7876
built_environment,2023,53,79476,0.6669
built_environment,2024,63,86553,0.7279
built_environment,2025,40,65239,0.6131
built_environment,2026,83,123257,0.6734
collaborating,2020,252,146086,1.725
collaborating,2021,246,129456,1.9003
collaborating,2022,169,69835,2.42
collaborating,2023,188,79476,2.3655
collaborating,2024,212,86553,2.4494
collaborating,2025,202,65239,3.0963
collaborating,2026,370,123257,3.0019
doing,2020,991,146086,6.7837
doing,2021,893,129456,6.8981
doing,2022,539,69835,7.7182
doing,2023,547,79476,6.8826
doing,2024,651,86553,7.5214
doing,2025,438,65239,6.7138
doing,2026,1035,123257,8.3971
environment_negative,2020,123,146086,0.842
environment_negative,2021,106,129456,0.8188
environment_negative,2022,76,69835,1.0883
environment_negative,2023,82,79476,1.0318
environment_negative,2024,78,86553,0.9012
environment_negative,2025,63,65239,0.9657
environment_negative,2026,99,123257,0.8032
environment_positive,2020,108,146086,0.7393
environment_positive,2021,96,129456,0.7416
environment_positive,2022,94,69835,1.346
environment_positive,2023,58,79476,0.7298
environment_positive,2024,91,86553,1.0514
environment_positive,2025,68,65239,1.0423
environment_positive,2026,108,123257,0.8762
knowledge,2020,998,146086,6.8316
knowledge,2021,859,129456,6.6355
knowledge,2022,509,69835,7.2886
knowledge,2023,528,79476,6.6435
knowledge,2024,537,86553,6.2043
knowledge,2025,448,65239,6.8671
knowledge,2026,998,123257,8.0969
positioning,2020,491,146086,3.361
positioning,2021,416,129456,3.2134
positioning,2022,202,69835,2.8925
positioning,2023,274,79476,3.4476
positioning,2024,316,86553,3.6509
positioning,2025,246,65239,3.7708
positioning,2026,738,123257,5.9875
questioning,2020,249,146086,1.7045
questioning,2021,173,129456,1.3364
questioning,2022,129,69835,1.8472
questioning,2023,115,79476,1.447
questioning,2024,128,86553,1.4789
questioning,2025,113,65239,1.7321
questioning,2026,185,123257,1.5009
misc,2020,8600,146086,58.8694
misc,2021,7813,129456,60.3526
misc,2022,4218,69835,60.3995
misc,2023,4923,79476,61.9432
misc,2024,5678,86553,65.6014
misc,2025,4336,65239,66.4633
misc,2026,8174,123257,66.3167
