verb_category,keyword_category,co_occur_sentences,verb_category_sentences,keyword_category_sentences,total_sentences,pct_of_verb_category_sentences,pct_of_keyword_category_sentences,pmi,G2,p_label,scored
positioning,theory,1187,2472,8541,30573,48.0,13.9,0.781,490.52,p < 0.0001,True
positioning,universal,991,2472,6522,30573,40.1,15.2,0.91,490.1,p < 0.0001,True
doing,architecture,2521,4365,13623,30573,57.8,18.5,0.374,356.78,p < 0.0001,True
doing,universal,1414,4365,6522,30573,32.4,21.7,0.603,341.19,p < 0.0001,True
doing,material,1122,4365,4832,30573,25.7,23.2,0.702,335.2,p < 0.0001,True
knowledge,theory,1714,4336,8541,30573,39.5,20.1,0.501,318.69,p < 0.0001,True
doing,quantification,1119,4365,4906,30573,25.6,22.8,0.676,312.1,p < 0.0001,True
knowledge,architecture,2469,4336,13623,30573,56.9,18.1,0.354,311.67,p < 0.0001,True
doing,theory,1714,4365,8541,30573,39.3,20.1,0.491,307.13,p < 0.0001,True
collaborating,theory,726,1554,8541,30573,46.7,8.5,0.742,261.28,p < 0.0001,True
doing,local,1118,4365,5131,30573,25.6,21.8,0.61,258.39,p < 0.0001,True
positioning,architecture,1480,2472,13623,30573,59.9,10.9,0.426,253.73,p < 0.0001,True
positioning,problem,550,2472,3546,30573,22.2,15.5,0.94,247.73,p < 0.0001,True
knowledge,universal,1322,4336,6522,30573,30.5,20.3,0.515,234.77,p < 0.0001,True
positioning,local,705,2472,5131,30573,28.5,13.7,0.765,232.17,p < 0.0001,True
doing,land,1224,4365,5932,30573,28.0,20.6,0.531,224.68,p < 0.0001,True
positioning,land,776,2472,5932,30573,31.4,13.1,0.694,220.7,p < 0.0001,True
doing,representation,635,4365,2585,30573,14.5,24.6,0.783,211.61,p < 0.0001,True
doing,problem,786,4365,3546,30573,18.0,22.2,0.635,182.76,p < 0.0001,True
positioning,solution,572,2472,4221,30573,23.1,13.6,0.745,171.47,p < 0.0001,True
questioning,universal,400,1027,6522,30573,38.9,6.1,0.869,170.35,p < 0.0001,True
positioning,material,631,2472,4832,30573,25.5,13.1,0.692,168.92,p < 0.0001,True
positioning,quantification,638,2472,4906,30573,25.8,13.0,0.686,168.56,p < 0.0001,True
knowledge,quantification,992,4336,4906,30573,22.9,20.2,0.512,161.35,p < 0.0001,True
doing,economic,691,4365,3114,30573,15.8,22.2,0.636,158.49,p < 0.0001,True
collaborating,architecture,922,1554,13623,30573,59.3,6.8,0.413,143.68,p < 0.0001,True
questioning,problem,250,1027,3546,30573,24.3,7.1,1.07,134.48,p < 0.0001,True
knowledge,local,998,4336,5131,30573,23.0,19.5,0.456,130.91,p < 0.0001,True
environment_negative,material,202,580,4832,30573,34.8,4.2,1.14,128.66,p < 0.0001,True
questioning,material,301,1027,4832,30573,29.3,6.2,0.891,122.88,p < 0.0001,True
positioning,economic,423,2472,3114,30573,17.1,13.6,0.748,121.64,p < 0.0001,True
questioning,theory,449,1027,8541,30573,43.7,5.3,0.646,120.85,p < 0.0001,True
environment_positive,problem,164,595,3546,30573,27.6,4.6,1.249,115.19,p < 0.0001,True
environment_negative,land,222,580,5932,30573,38.3,3.7,0.98,113.2,p < 0.0001,True
knowledge,problem,718,4336,3546,30573,16.6,20.2,0.514,110.98,p < 0.0001,True
environment_positive,universal,236,595,6522,30573,39.7,3.6,0.895,104.63,p < 0.0001,True
