verb,noun,verb_category,co_occur_sentences,verb_sentences,noun_sentences,total_sentences,pmi,G2,p_label
build,environment,doing,528,1359,1125,30573,3.4,1995.53,p < 0.0001
address,challenge,misc,128,703,570,30573,3.288,399.88,p < 0.0001
address,climate,misc,250,703,2692,30573,2.014,398.4,p < 0.0001
embody,carbon,misc,70,171,439,30573,4.833,376.78,p < 0.0001
review,peer,misc,39,107,82,30573,7.086,344.1,p < 0.0001
solve,problem,misc,41,57,336,30573,6.032,307.69,p < 0.0001
tell,story,misc,27,32,87,30573,8.212,298.22,p < 0.0001
publish,journal,misc,39,204,77,30573,6.246,292.37,p < 0.0001
register,architect,misc,44,59,681,30573,5.065,271.36,p < 0.0001
integrate,design,misc,199,460,3906,30573,1.76,266.89,p < 0.0001
address,change,misc,160,703,1605,30573,2.116,257.95,p < 0.0001
imagine,future,misc,53,152,539,30573,4.306,239.95,p < 0.0001
relate,climate,positioning,130,321,2692,30573,2.201,237.94,p < 0.0001
engage,community,collaborating,140,641,1514,30573,2.141,228.01,p < 0.0001
address,issue,misc,96,703,623,30573,2.744,223.7,p < 0.0001
face,challenge,misc,54,181,570,30573,4.0,218.99,p < 0.0001
rise,sea,misc,29,80,158,30573,6.132,206.7,p < 0.0001
contact,question,misc,36,79,436,30573,4.998,201.27,p < 0.0001
answer,question,misc,25,27,436,30573,6.021,199.75,p < 0.0001
reduce,carbon,misc,46,199,439,30573,4.009,184.11,p < 0.0001
learn,lesson,knowledge,31,432,67,30573,5.033,174.78,p < 0.0001
rise,level,misc,32,80,445,30573,4.78,166.66,p < 0.0001
engage,design,collaborating,206,641,3906,30573,1.331,166.35,p < 0.0001
ask,question,misc,45,239,436,30573,3.723,161.06,p < 0.0001
provide,opportunity,misc,59,615,363,30573,3.014,155.68,p < 0.0001
drive,data,misc,22,184,56,30573,6.028,153.02,p < 0.0001
inform,design,misc,108,241,3906,30573,1.81,151.08,p < 0.0001
focus,design,misc,226,772,3906,30573,1.196,150.74,p < 0.0001
