lemma,surface_forms,corpus_count,2020,2021,2022,2023,2024,2025,2026
build,"built, building, build, builds",1430,297,294,146,151,184,100,258
include,"including, include, includes, included",1261,250,182,98,169,165,137,260
develop,"develop, developed, developing, develops",1246,256,216,109,125,201,120,219
work,"working, work, worked, works, wrought",856,193,139,89,114,113,75,133
base,"based, base",836,137,138,75,81,93,89,223
focus,"focused, focuses, focus, focusing",785,130,129,66,90,102,108,160
teach,"taught, teaching, teaches, teach",735,156,149,83,67,87,36,157
address,"address, addressing, addresses, addressed",716,119,130,82,64,96,95,130
explore,"explore, exploring, explores, explored",678,120,139,63,74,106,65,111
engage,"engage, engaged, engaging, engages",654,94,85,72,65,77,84,177
design,"design, designed, designing, designs",632,118,126,58,73,88,45,124
provide,"provide, provides, providing, provided",622,123,134,63,94,75,56,77
propose,"proposed, propose, proposes, proposing",596,127,93,67,68,68,48,125
create,"create, creating, created, creates",586,115,116,66,56,76,69,88
support,"support, supported, supporting, supports",565,93,74,44,67,58,60,169
integrate,"integrated, integrating, integrate, integrates",466,59,60,31,42,46,61,167
offer,"offer, offered, offers, offering",464,98,75,52,36,62,45,96
understand,"understand, understanding, understood, understands",461,102,76,63,60,35,40,85
serve,"serve, served, serves, serving",447,82,65,40,55,63,44,98
learn,"learning, learn, learned, learns, learnt",443,82,88,40,41,53,37,102
lead,"led, leading, lead, leads",431,80,60,42,47,59,34,109
exist,"existing, exist, exists, existed",404,88,57,41,39,52,27,100
require,"required, requires, require, requiring",365,78,89,33,39,24,27,75
examine,"examine, examines, examining, examined",347,81,48,20,36,32,37,93
relate,"related, relate, relates, relating",337,91,81,21,36,41,27,40
consider,"consider, considering, considered, considers",333,86,60,27,26,59,37,38
write,"writing, write, written, wrote, writes",332,72,58,46,43,23,29,61
become,"become, becoming, becomes, became",329,76,75,36,35,39,17,51
present,"presented, present, presents, presenting",325,63,56,37,45,45,40,39
bring,"brings, bring, bringing, brought",320,70,55,40,40,37,36,42
produce,"produce, produced, producing, produces",319,57,40,42,37,34,23,86
receive,"received, receive, receiving, receives",308,76,67,34,31,30,27,43
need,"need, needed, needs, needing",283,74,67,35,32,33,21,21
hold,"holds, held, hold, holding",278,60,31,29,33,37,28,60
contribute,"contribute, contributed, contributing, contributes",273,50,48,23,28,31,34,59
identify,"identify, identified, identifying, identifies",267,46,50,30,34,29,33,45
allow,"allow, allows, allowing, allowed",264,57,41,22,31,38,30,45
shape,"shape, shaped, shaping, shapes",262,50,29,19,19,29,23,93
see,"see, seen, seeing, saw, sees",257,58,62,17,22,41,22,35
begin,"begin, beginning, began, begins, begun",253,64,24,23,27,56,24,35
help,"help, helps, helped, helping",253,58,65,21,36,25,27,21
introduce,"introduced, introduce, introduces, introducing",251,36,43,22,28,41,17,64
expand,"expand, expanding, expanded, expands",248,48,48,26,28,29,20,49
share,"shared, share, sharing, shares",245,29,32,36,36,27,29,56
follow,"following, followed, follow, follows",245,52,40,17,36,26,25,49
select,"selected, select, selecting",245,39,39,27,21,33,33,53
inform,"inform, informed, informs, informing",244,38,29,16,34,26,25,76
ask,"asked, ask, asks, asking",243,45,52,37,20,22,18,49
change,"changing, change, changed, changes",241,63,41,25,21,35,30,26
study,"study, studying, studied, studies",240,40,35,26,35,33,27,44
continue,"continue, continues, continued, continuing",239,41,33,24,25,49,27,40
establish,"established, establish, establishing, establishes",236,49,39,23,23,29,28,45
live,"living, live, lived, lives",229,47,43,21,23,32,19,44
apply,"applied, apply, applying, applies",223,35,29,16,33,28,25,57
advance,"advance, advancing, advances, advanced",222,24,23,15,13,48,20,79
look,"look, looking, looks, looked",221,46,46,23,27,31,24,24
investigate,"investigate, investigates, investigating, investigated",221,42,42,21,19,21,18,58
emerge,"emerging, emerge, emerged, emerges",219,49,42,19,22,31,13,43
aim,"aims, aim, aiming, aimed",215,35,42,24,12,47,34,21
draw,"drawing, draw, drawn, draws, drew",209,37,25,19,21,39,22,46
reduce,"reduce, reducing, reduced, reduces",208,30,53,11,14,21,26,53
publish,"published, publish, publishing, publishes",208,53,41,21,30,9,25,29
think,"think, thinking, thought, thinks",207,50,35,18,19,21,28,36
represent,"represents, represent, representing, represented",206,41,29,12,31,24,19,50
seek,"seeks, seek, seeking, sought",206,56,29,22,29,30,17,23
involve,"involved, involving, involve, involves",203,51,30,17,35,23,26,21
define,"define, defined, defining, defines",203,56,36,13,35,14,15,34
recognize,"recognized, recognize, recognizing, recognizes",199,40,28,21,21,30,19,40
enable,"enable, enables, enabled, enabling",196,28,32,13,10,48,21,44
connect,"connect, connecting, connected, connects",190,40,31,14,28,19,10,48
drive,"driven, driving, drive, drives",190,19,15,13,16,26,35,66
organize,"organized, organize, organizing, organizes",186,37,19,20,37,17,17,39
demonstrate,"demonstrate, demonstrated, demonstrating, demonstrates",185,31,26,11,16,8,31,62
challenge,"challenges, challenge, challenged, challenging",184,50,26,26,14,15,17,36
face,"facing, face, faced, faces",184,45,33,11,10,29,10,46
analyze,"analyze, analyzing, analyzed, analyzes",179,22,23,16,24,26,25,43
respond,"respond, responds, responding, responded",179,25,36,13,16,22,17,50
find,"find, found, finding, finds",177,37,33,23,33,18,14,19
prepare,"prepare, preparing, prepares, prepared",174,34,28,10,19,9,26,48
embody,"embodied, embody, embodies, embodying",171,25,20,13,18,15,19,61
know,"known, know, knowing, knows, knew",166,39,36,22,16,22,16,15
increase,"increasing, increased, increase",157,30,29,11,26,29,14,18
conduct,"conduct, conducted, conducting, conducts",156,25,19,16,35,17,14,30
affect,"affect, affected, affecting, affects",155,29,37,22,18,17,13,19
grow,"growing, grow, grown, grew, grows",155,34,27,16,16,30,10,22
incorporate,"incorporate, incorporating, incorporates, incorporated",154,30,33,14,13,23,20,21
imagine,"imagine, imagining, imagined, imagines",153,30,15,14,16,46,20,12
meet,"meet, meets, meeting, met",153,44,28,13,27,15,12,14
generate,"generate, generated, generating, generates",152,36,20,10,21,14,15,36
emphasize,"emphasizes, emphasizing, emphasize, emphasized",151,17,8,3,6,22,39,56
construct,"constructed, construct, constructing, constructs",150,25,30,20,10,26,16,23
combine,"combined, combining, combine, combines",150,25,23,16,12,21,10,43
encourage,"encourage, encouraged, encourages, encouraging",149,39,28,8,7,27,20,20
submit,"submitted, submit, submitting, submits",149,29,34,8,27,9,11,31
participate,"participate, participating, participated, participates",147,29,28,11,21,22,16,20
operate,"operate, operates, operating, operated",146,20,22,10,15,13,7,59
visit,"visiting, visit, visited, visits",145,27,27,19,25,17,6,24
move,"move, moving, moves, moved",143,26,27,20,16,22,9,23
impact,"impact, impacted, impacting, impacts",142,31,25,16,21,24,15,10
complete,"completed, complete, completing, completes",141,29,42,9,14,12,15,20
guide,"guided, guide, guiding, guides",140,24,23,7,25,17,15,29
award,"awarded, awarding",138,38,21,23,19,12,10,15
invite,"invited, invite, invites, inviting",135,37,19,13,15,19,10,22
align,"aligns, aligned, align, aligning",134,15,14,5,9,19,28,44
test,"test, tested, testing, tests",133,23,19,14,17,16,10,34
discuss,"discuss, discussed, discussing, discusses",133,30,29,29,15,13,10,7
reflect,"reflect, reflects, reflecting, reflected",132,23,19,17,14,13,17,29
center,"centered, centering, center, centers",131,14,17,9,11,20,11,49
evaluate,"evaluate, evaluated, evaluating, evaluates",129,19,17,6,13,8,16,50
utilize,"utilizing, utilize, utilized, utilizes",128,35,29,6,20,23,8,7
play,"play, plays, played, playing",127,26,35,14,16,12,11,13
call,"called, calls, call, calling",127,32,34,17,8,16,6,14
believe,"believe, believes, believed",126,29,17,9,14,25,14,18
improve,"improve, improving, improved, improves",125,23,42,4,13,5,15,23
found,"founding, founded",125,31,12,25,13,13,15,16
ground,"grounded, ground, grounding, grounds",124,14,15,5,9,14,12,55
implement,"implement, implemented, implementing, implements",121,23,20,14,13,17,12,22
transform,"transform, transforming, transformed, transforms",120,24,18,11,10,17,8,32
evolve,"evolving, evolve, evolved, evolves",120,22,21,11,12,18,14,22
promote,"promote, promoting, promotes, promoted",120,21,14,17,10,20,22,16
collaborate,"collaborate, collaborating, collaborated, collaborates",119,21,21,7,11,25,17,17
situate,"situated, situate, situating, situates",119,15,14,8,14,9,8,51
embed,"embedded, embedding, embed",118,18,11,11,11,10,11,46
form,"form, formed, forming, forms",118,29,17,18,14,13,10,17
join,"joining, joined, join, joins",118,23,18,16,13,16,10,22
foster,"foster, fostering, fosters, fostered",116,16,18,5,5,20,32,20
position,"positioned, positioning, position, positions",115,23,7,7,9,6,7,56
link,"linked, linking, link, links",115,23,18,8,6,12,11,37
choose,"chosen, choose, choosing, chose, chooses",113,24,24,8,11,15,13,18
review,"reviewed, review, reviews, reviewing",113,25,25,7,8,15,8,25
adapt,"adapt, adapting, adapted, adapts",112,28,20,8,13,16,9,18
result,"resulting, result, resulted, results",112,15,18,15,18,18,13,15
win,"winning, won, win, wins",112,29,18,12,9,17,10,17
practice,"practicing, practiced, practice, practices",109,27,24,15,10,11,8,14
run,"run, running, runs, ran",106,23,25,8,12,20,6,12
plan,"plan, planning, planned, plans",105,25,20,8,20,7,12,13
start,"start, starting, started, starts",104,30,23,11,9,10,7,14
frame,"framed, framing, frame, frames",103,16,8,13,9,9,5,43
enhance,"enhance, enhancing, enhanced, enhances",103,16,15,10,7,10,21,24
set,"set, setting, sets",102,19,17,11,17,14,13,11
envision,"envision, envisioning, envisioned, envisions",101,20,12,10,7,32,11,9
translate,"translate, translating, translated, translates",101,4,6,6,7,5,13,60
reveal,"reveal, reveals, revealing, revealed",100,18,15,12,11,10,4,30
mean,"means, mean, meaning, meant",99,28,24,10,9,10,5,13
show,"show, shows, shown, showing, showed",98,24,14,7,9,16,8,20
locate,"located, locate, locating, locates",98,22,13,10,16,17,6,14
remain,"remain, remains, remaining, remained",96,20,16,7,16,7,6,24
research,"research, researching, researched, researches",96,11,9,16,15,16,7,22
leverage,"leverage, leveraging, leverages, leveraged",96,16,20,11,17,13,9,10
read,"reading, read, reads",94,13,14,13,6,14,11,23
associate,"associated, associate",94,23,26,10,10,12,4,9
extend,"extend, extends, extended, extending",94,16,13,2,13,12,5,33
gain,"gain, gained, gaining, gains",94,18,16,9,7,18,12,14
achieve,"achieve, achieving, achieved, achieves",94,16,20,15,16,5,14,8
ensure,"ensure, ensuring, ensures, ensured",93,10,7,6,4,8,15,43
shift,"shifting, shift, shifted, shifts",91,21,13,3,13,10,9,22
document,"document, documenting, documented, documents",91,14,7,10,8,8,9,35
describe,"described, describe, describes, describing",90,23,23,13,13,8,2,8
experience,"experience, experienced, experiencing, experiences",89,15,13,14,5,23,6,13
inspire,"inspired, inspire, inspiring, inspires",87,18,15,7,13,9,13,12
place,"placed, place, places, placing",86,17,15,6,11,8,10,19
mitigate,"mitigate, mitigating, mitigates, mitigated",86,18,16,10,15,9,9,9
fund,"funded, fund, funding",85,25,15,3,10,6,9,17
approach,"approach, approaches, approached, approaching",85,17,9,9,11,18,8,13
assign,"assigned, assign, assigning",84,14,37,2,9,8,4,10
fall,"fall, falls, falling, fallen",83,19,20,5,3,26,4,6
rise,"rising, rise, risen, rose, rises",81,18,14,14,9,9,6,11
assess,"assess, assessing, assessed, assesses",81,13,20,8,10,7,6,17
structure,"structured, structure, structuring, structures",81,14,7,8,10,9,5,28
recommend,"recommend, recommended, recommending, recommends",81,14,19,7,7,6,8,20
reimagine,"reimagine, reimagining, reimagined, reimagines",81,10,6,6,10,6,22,21
surround,"surrounding, surrounded, surrounds, surround",80,21,17,9,6,7,8,12
accord,according,80,14,20,6,8,19,5,8
contact,"contact, contacting, contacted",79,20,19,10,9,5,4,12
exhibit,"exhibited, exhibit, exhibits, exhibiting",79,22,9,14,7,7,6,14
maintain,"maintain, maintaining, maintained, maintains",79,18,17,8,6,10,3,17
empower,"empower, empowering, empowers, empowered",79,11,13,16,6,14,12,7
reach,"reach, reaching, reaches, reached",78,23,18,8,5,10,7,7
expose,"exposed, expose, exposing, exposes",78,16,9,6,11,12,7,17
map,"map, mapping, mapped, maps",78,15,19,5,9,8,7,15
expect,"expected, expect, expects",77,5,34,9,7,4,6,12
confront,"confront, confronting, confronts, confronted",76,15,8,12,2,7,7,25
treat,"treating, treated, treats, treat",76,3,3,1,3,0,3,63
feel,"feel, felt, feels, feeling",76,20,11,7,11,9,4,14
highlight,"highlight, highlighting, highlights, highlighted",75,13,9,10,4,11,14,14
direct,"directed, directs, directing, direct",75,12,16,11,8,9,6,13
determine,"determine, determined, determining, determines",74,25,17,7,8,8,4,5
deliver,"deliver, delivered, delivering, delivers",74,18,20,1,8,3,6,18
act,"act, acting, acted, acts",74,12,17,18,8,6,6,7
travel,"travel, travelling, traveling, travels, traveled, travelled",74,13,7,13,17,8,2,14
intend,"intended, intends, intend",73,17,7,12,12,5,12,8
strengthen,"strengthen, strengthening, strengthens, strengthened",73,3,7,6,5,5,9,38
rethink,"rethink, rethinking",72,18,11,9,6,8,15,5
foreground,"foreground, foregrounds, foregrounding, foregrounded",72,11,7,4,5,8,5,32
visualize,"visualize, visualizing, visualized, visualizes",71,12,9,4,7,11,4,24
title,titled,70,12,15,4,9,10,10,10
earn,"earned, earning, earn",70,10,16,9,4,8,11,12
manage,"managed, manage, managing, manages",70,12,12,7,14,9,4,12
pursue,"pursue, pursuing, pursued, pursues",69,20,11,10,5,6,4,13
add,"adding, add, added, adds",69,18,19,7,8,7,4,6
equip,"equips, equipped, equip, equipping",69,4,6,6,4,11,14,24
range,"ranging, range, ranges, ranged",68,16,10,7,4,9,9,13
regard,"regarding, regarded",68,14,10,2,8,6,17,11
leave,"left, leaving, leave, leaves",68,16,11,7,11,7,7,9
reinforce,"reinforce, reinforces, reinforcing, reinforced",67,11,10,4,5,3,4,30
cause,"caused, causing, cause, causes",66,13,16,11,8,7,7,4
facilitate,"facilitate, facilitates, facilitating, facilitated",66,12,16,8,3,9,10,8
influence,"influence, influenced, influencing, influences",65,12,14,6,5,8,7,13
project,"projected, project, projecting, projects",65,11,11,5,13,5,4,16
articulate,"articulate, articulated, articulating, articulates",65,19,9,4,4,6,4,19
suggest,"suggests, suggested, suggest, suggesting",65,9,11,17,9,12,1,6
synthesize,"synthesize, synthesizing, synthesizes, synthesized",63,12,6,5,10,5,3,22
divide,"divided, divide, dividing, divides",63,11,10,5,7,6,18,6
