syllabus_id,s,year,filename,page,index_on_page,width,height,hex,hue,sat,light,hash,group
2020cprize-02,2020-02,2020,2020cprize-02_p00_i00.jpg,0,0,560,115,#b4cde1,206.8,0.434,0.795,759bac1627bdda839b8043af2da0b176,0
2020cprize-02,2020-02,2020,2020cprize-02_p00_i01.jpg,0,1,560,106,#a6b892,88.1,0.211,0.648,7a055bb094f7d07b1f3776b1460d5d4a,1
2020cprize-02,2020-02,2020,2020cprize-02_p03_i00.jpg,3,0,389,383,#dbdbdc,232.4,0.012,0.86,2adba666f22c0737cd6ee3cc71dab577,2
2020cprize-02,2020-02,2020,2020cprize-02_p03_i01.jpg,3,1,385,382,#d8d9db,220.2,0.039,0.854,d5b696907539f0b720af75637be15454,3
2020cprize-02,2020-02,2020,2020cprize-02_p03_i04.jpg,3,4,381,378,#e4e4e4,44.8,0.003,0.892,01e40c6439603433348a08fac8a7b22a,4
2020cprize-02,2020-02,2020,2020cprize-02_p03_i05.jpg,3,5,560,549,#e0d5cb,29.4,0.261,0.837,23a778f09146395a7d16170c6024213f,5
2020cprize-02,2020-02,2020,2020cprize-02_p03_i08.jpg,3,8,560,269,#2e2e2e,304.3,0.001,0.18,bd8423cf7ddd94856576c3a5e0f98fbb,6
2020cprize-02,2020-02,2020,2020cprize-02_p03_i09.jpg,3,9,560,548,#e3e3e3,0.0,0.0,0.889,c7e0f1c966406eb23b60f7d409c0486d,7
2020cprize-06,2020-06,2020,2020cprize-06_p01_i00.jpg,1,0,560,165,#d7d8d8,197.2,0.01,0.845,5c693829c2de54a749aae8ddc20ddfcd,8
2020cprize-09,2020-09,2020,2020cprize-09_p00_i00.jpg,0,0,560,228,#797682,251.5,0.046,0.487,ad91bf96cd77e392fd37034b65553742,9
2020cprize-11,2020-11,2020,2020cprize-11_p00_i00.jpg,0,0,560,415,#8294a1,205.7,0.142,0.571,adbfec4b56ce99bb23dc8d991f933083,10
2020cprize-11,2020-11,2020,2020cprize-11_p00_i01.jpg,0,1,560,404,#8d8072,31.1,0.106,0.5,150362e656aab0adb62dab579305db2c,11
2020cprize-15,2020-15,2020,2020cprize-15_p00_i00.jpg,0,0,560,311,#5e4e50,353.2,0.092,0.336,f247b0e0bba1b8226c9a8ce45e5223b0,12
2020cprize-16,2020-16,2020,2020cprize-16_p00_i00.jpg,0,0,537,369,#b1b3b0,99.0,0.023,0.695,994d72c521418caefed9579c460e2291,13
2020cprize-16,2020-16,2020,2020cprize-16_p00_i01.jpg,0,1,560,552,#c1c1c1,0.0,0.0,0.757,a5e6873f4c4d1ba38017725ab2c8adb7,14
2020cprize-16,2020-16,2020,2020cprize-16_p01_i00.jpg,1,0,560,116,#abac89,62.1,0.176,0.606,e38997c84330f1881cb4f984802c63b5,15
2020cprize-16,2020-16,2020,2020cprize-16_p02_i00.jpg,2,0,394,215,#706e76,252.5,0.033,0.447,f801be81f32a008be7f821fec84b8e04,16
2020cprize-16,2020-16,2020,2020cprize-16_p02_i01.jpg,2,1,465,241,#a2a1a4,264.8,0.014,0.636,336905139296ddf9b7e2c65d8ee2cdef,17
2020cprize-16,2020-16,2020,2020cprize-16_p02_i02.jpg,2,2,321,331,#d2d2cf,63.8,0.034,0.817,6312e6db387aeef648dd1ca11f664d14,18
2020cprize-19,2020-19,2020,2020cprize-19_p00_i00.jpg,0,0,560,454,#7b765b,50.4,0.148,0.42,308b970e968b38dc32177e64a3b3443a,19
2020cprize-19,2020-19,2020,2020cprize-19_p00_i01.jpg,0,1,560,372,#aba89a,49.1,0.091,0.636,901737dd49ca75aeee7fe0a9e4ee27c1,20
2020cprize-19,2020-19,2020,2020cprize-19_p00_i02.jpg,0,2,560,416,#efeee5,50.3,0.24,0.919,5e7807da6ee827655b7499ddc7424691,21
2020cprize-20,2020-20,2020,2020cprize-20_p00_i00.jpg,0,0,560,461,#a6331f,9.2,0.688,0.385,665dd3af34eb683f1b3284f92368b904,22
2020cprize-20,2020-20,2020,2020cprize-20_p00_i01.jpg,0,1,514,560,#9a7b47,37.3,0.368,0.442,f68e24ec9bce36f161baad3ee5e20119,23
2020cprize-20,2020-20,2020,2020cprize-20_p00_i02.jpg,0,2,560,368,#cbcccd,185.2,0.019,0.798,88419c57646714fcacd4c0d7a7868d40,24
